"vegetable_id","vegetable_name","category","price","stock_quantity","supplier"
1,"Carroot","Root Vegetable",150,150,"Fresh Farms"
2,"Tomato","Fruit Vegetable",200,200,"Green Harvest"
3,"Lettuce","Leafy Green",180,180,"Organic Gardens"
4,"Broccoli","Cruciferous",120,120,"Farm Fresh Produce"
5,"Bell Pepper","Fruit Vegetable",180,180,"Sunny Valley Farms"
6,"Spinach","Leafy Green",160,160,"Nature's Best"
7,"Potato","Tuber Vegetable",250,250,"Golden Fields"
8,"Cucumber","Fruit Vegetable",220,220,"Farm Fresh Produce"
9,"Zucchini","Squash",190,190,"Harvest Time Co."
10,"Onion","Bulb Vegetable",200,200,"Fresh Farms"
11," Cauliflower"," Cruciferous",140,140," Organic Gardens"
12," Green Bean"," Pod Vegetable",180,180," Sunny Valley Farms"
13," Kale"," Leafy Green",170,170," Green Harvest"
14," Radish"," Root Vegetable",160,160," Natures Best"
15," Brussels Sprouts"," Cruciferous",130,130," Golden Fields"
16," Asparagus"," Stem Vegetable",150,150," Harvest Time Co."
17," Cabbage"," Cruciferous",160,160," Farm Fresh Produce"
18," Eggplant"," Fruit Vegetable",190,190," Organic Gardens"
19," Sweet Potato"," Tuber Vegetable",210,210," Sunny Valley Farms"
20," Mushroom"," Fungi",180,180," Green Harvest"
21," Peas"," Pod Vegetable",170,170," Natures Best"
22," Beet"," Root Vegetable",150,150," Golden Fields"
23," Artichoke"," Flower Vegetable",140,140," Harvest Time Co."
24," Celery"," Stem Vegetable",160,160," Farm Fresh Produce"
25," Pumpkin"," Squash",200,200," Organic Gardens"
26," Garlic"," Bulb Vegetable",190,190," Sunny Valley Farms"
27," Chard"," Leafy Green",180,180," Green Harvest"
28," Turnip"," Root Vegetable",170,170," Natures Best"
29," Radish"," Root Vegetable",160,160," Golden Fields"
30," Okra"," Pod Vegetable",150,150," Harvest Time Co."
31," Celeriac"," Tuber Vegetable",140,140," Farm Fresh Produce"
32," Fennel"," Stem Vegetable",130,130," Organic Gardens"
33," Winter Squash"," Squash",120,120," Sunny Valley Farms"
34," Rutabaga"," Root Vegetable",160,160," Green Harvest"
35," Scallion"," Bulb Vegetable",170,170," Natures Best"
36," Leek"," Bulb Vegetable",150,150," Golden Fields"
37," Endive"," Leafy Green",140,140," Harvest Time Co."
38," Watercress"," Leafy Green",130,130," Farm Fresh Produce"
39," Turnip Greens"," Leafy Green",120,120," Organic Gardens"
40," Yuca"," Tuber Vegetable",150,150," Sunny Valley Farms"
41," Jicama"," Tuber Vegetable",160,160," Green Harvest"
42," Chayote"," Squash",170,170," Natures Best"
43," Radicchio"," Leafy Green",180,180," Golden Fields"
44," Bok Choy"," Leafy Green",190,190," Harvest Time Co."
45," Salsify"," Root Vegetable",200,200," Farm Fresh Produce"
46," Kohlrabi"," Cruciferous",210,210," Organic Gardens"
47," Endive"," Leafy Green",140,140," Harvest Time Co."
48," Turnip"," Root Vegetable",170,170," Natures Best"
49," Okra"," Pod Vegetable",150,150," Harvest Time Co."
50,"  Leek"," Bulb Vegetable",150,150," Golden Fields);"
